CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Balance_per_Product,Age_Group,Credit_Score_Age_Ratio,Is_High_Value_Active
619,France,Female,42,2,0.0,1,1,1,26988.02352526989,1,2,DIAMOND,464,0.0,Adult,14.395348837209303,0
608,Spain,Female,41,1,83807.86,1,0,1,32318.468993141458,1,3,DIAMOND,456,76188.96363636362,Adult,14.476190476190476,1
502,France,Female,42,8,159660.8,3,1,0,51933.72237419591,1,3,DIAMOND,377,51503.483870967735,Adult,11.674418604651162,0
699,France,Female,39,1,0.0,2,0,0,26989.879439935663,0,5,GOLD,350,0.0,Adult,17.475,0
850,Spain,Female,43,2,125510.82,1,1,1,46855.46986970751,0,5,GOLD,425,114100.74545454545,Adult,19.318181818181817,1
645,Spain,Male,44,8,113755.78,2,1,0,45693.05710845077,1,5,DIAMOND,484,54169.41904761904,Adult,14.333333333333334,0
822,France,Male,50,7,0.0,2,1,1,39569.32779711397,0,2,SILVER,206,0.0,Middle,16.11764705882353,0
376,Germany,Female,29,4,115046.74,4,1,0,30611.857658306006,1,2,DIAMOND,282,28060.180487804882,Young,12.533333333333333,0
501,France,Male,44,4,142051.07,2,0,1,42397.108637646015,0,3,GOLD,251,67643.36666666667,Adult,11.133333333333333,1
684,France,Male,27,2,134603.88,1,1,1,34797.43468307133,0,3,GOLD,342,122367.16363636364,Young,24.428571428571427,1
528,France,Male,31,6,102016.72,2,0,0,33541.834369024575,0,3,GOLD,264,48579.39047619048,Adult,16.5,0
497,Spain,Male,24,3,0.0,2,1,0,10234.160456266514,0,3,GOLD,249,0.0,Young,19.88,0
476,France,Female,34,10,0.0,2,1,0,18516.537407537748,0,3,SILVER,119,0.0,Adult,13.6,0
549,France,Female,25,5,0.0,2,0,0,15980.973407826486,0,3,PLATINUM,549,0.0,Young,21.115384615384617,0
635,Spain,Female,35,7,0.0,2,1,1,22796.33749572324,0,2,GOLD,318,0.0,Adult,17.63888888888889,0
616,Germany,Male,45,3,143129.41,2,0,1,62610.76865210965,0,5,GOLD,308,68156.8619047619,Adult,13.391304347826088,1
653,Germany,Male,58,1,132602.88,1,1,0,46155.06428705887,0,2,SILVER,163,120548.07272727272,Middle,11.067796610169491,0
549,Spain,Female,24,9,0.0,2,1,1,13538.795791260107,0,3,SILVER,544,0.0,Young,21.96,0
587,Spain,Male,45,6,0.0,1,0,0,22211.665932591524,0,3,PLATINUM,732,0.0,Adult,12.76086956521739,0
726,France,Female,24,6,0.0,2,1,1,17003.281066166528,0,4,GOLD,477,0.0,Young,29.04,0
732,France,Male,41,8,0.0,2,1,1,37799.13997062797,0,3,PLATINUM,568,0.0,Adult,17.428571428571427,0
636,Spain,Female,32,8,0.0,2,1,0,23256.859977471777,0,2,DIAMOND,336,0.0,Adult,19.272727272727273,0
510,Spain,Female,38,4,0.0,1,1,0,19250.980482039173,1,2,DIAMOND,887,0.0,Adult,13.076923076923077,0
669,France,Male,46,3,0.0,2,0,1,28319.828915298967,0,2,SILVER,665,0.0,Middle,14.23404255319149,0
846,France,Female,38,5,0.0,1,1,1,30740.65351994123,0,3,PLATINUM,225,0.0,Adult,21.692307692307693,0
577,France,Male,25,3,0.0,2,0,1,17769.508427202894,0,3,PLATINUM,659,0.0,Young,22.192307692307693,0
756,Germany,Male,36,2,136815.64,1,1,1,61723.15403982649,0,5,DIAMOND,236,124377.85454545455,Adult,20.43243243243243,1
